lane	local_target	external_repo	external_module	theorems	adapter_target	priority
integration_seed	Aristotle.Standalone.ExternalPort.DirichletNonvanishingCompat	DirichletNonvanishing	Project/EulerProducts/PNT.lean	riemannZeta_ne_zero_of_one_le_re;neg_logDeriv_ζ₁_eq;continuousOn_neg_logDeriv_ζ₁	Standalone/ExternalPort/DirichletNonvanishingCompat.lean (implemented wrappers)	0
integration_seed	Aristotle.Standalone.ExternalPort.PrimeNumberTheoremAndContourCompat	PrimeNumberTheoremAnd	PrimeNumberTheoremAnd/PerronFormula.lean	contourPull;residuePull1;residuePull2	Standalone/ExternalPort/PrimeNumberTheoremAndContourCompat.lean (implemented wrappers)	0
integration_seed	Aristotle.Standalone.ExternalPort.StrongPNTLogDerivCompat	strongpnt	StrongPNT/PNT4_ZeroFreeRegion.lean	log-derivative meromorphicity and pole-growth compatibility	Standalone/ExternalPort/StrongPNTLogDerivCompat.lean (implemented wrappers)	0
integration_seed	Aristotle.Standalone.ExternalPort.B5aLegacyPayloadWiring	PrimeNumberTheoremAnd+strongpnt	adapter synthesis	payload-to-rootPayload-to-shiftedBound endpoint wiring	Standalone/ExternalPort/B5aLegacyPayloadWiring.lean (implemented endpoints)	0
integration_seed	Aristotle.Standalone.ExternalPort.B5aExternalLegacyComponentsPayload	PrimeNumberTheoremAnd+strongpnt	component-port synthesis	external legacy components -> legacy payload -> B5a shifted bound	Standalone/ExternalPort/B5aExternalLegacyComponentsPayload.lean (implemented class+endpoints)	0
integration_seed	Aristotle.Standalone.ExternalPort.B5aExternalShiftedComponentsPayload	PrimeNumberTheoremAnd+strongpnt	component-port synthesis	external shifted components -> B5a root payload -> general hyp	Standalone/ExternalPort/B5aExternalShiftedComponentsPayload.lean (implemented class+endpoints)	0
integration_seed	Aristotle.Standalone.ExternalPort.StrongPNTGrowthCompat	strongpnt	StrongPNT/PNT5_Strong.lean	IBound_aux1 (log^k linear majorant)	Standalone/ExternalPort/StrongPNTGrowthCompat.lean (ported theorem)	0
integration_seed	Aristotle.Standalone.ExternalPort.StrongPNTRectangleHolomorphicCompat	strongpnt	StrongPNT/PNT5_Strong.lean	BddAboveOnRect (holomorphic rectangle bounded-image helper)	Standalone/ExternalPort/StrongPNTRectangleHolomorphicCompat.lean (ported theorem)	0
integration_seed	Aristotle.Standalone.ExternalPort.B5aExternalAutoInstances	adapter synthesis	auto-instance wiring	external B5a payload classes -> ExplicitFormulaPsiHyp/GeneralHyp/root-payload lanes	Standalone/ExternalPort/B5aExternalAutoInstances.lean (implemented class bridges)	0
integration_seed	Aristotle.Standalone.ExternalPort.RHPiExternalExactSeedAutoInstances	adapter synthesis	auto-instance wiring	external RH-pi exact-seed payload class -> truncated/target/anti-target lanes	Standalone/ExternalPort/RHPiExternalExactSeedAutoInstances.lean (implemented class bridges)	0
integration_seed	Aristotle.Standalone.ExternalPort.B5aExternalConcreteWitnessLane	adapter synthesis	concrete witness lane	one concrete legacy linear-log witness theorem term -> B5a shifted-remainder endpoint	Standalone/ExternalPort/B5aExternalConcreteWitnessLane.lean (implemented term adapters)	0
integration_seed	Aristotle.Standalone.ExternalPort.RHPiExternalConcreteExactSeedLane	adapter synthesis	concrete witness lane	one concrete RH-pi truncated/target/anti-target witness triple -> exact-seed endpoint triple	Standalone/ExternalPort/RHPiExternalConcreteExactSeedLane.lean (implemented term adapters)	0
integration_seed	Aristotle.Standalone.ExplicitFormulaPsiB5aShiftedBoundDeepLeaf	endpoint adoption	candidate route adoption	added concrete external witness candidate route theorem in deep-leaf endpoint	Standalone/ExplicitFormulaPsiB5aShiftedBoundDeepLeaf.lean (new candidate theorem)	0
integration_seed	Aristotle.Standalone.RHPiUnconditionalExactSeedExistence	endpoint adoption	candidate route adoption	added concrete external witness candidate routes in RH-pi exact-seed endpoint	Standalone/RHPiUnconditionalExactSeedExistence.lean (new candidate theorems)	0
B5a	Aristotle.DirichletPhaseAlignment.ExplicitFormulaPsiHyp	PrimeNumberTheoremAnd	PrimeNumberTheoremAnd/MediumPNT.lean	SmoothedChebyshevClose;SmoothedChebyshevPull1;SmoothedChebyshevPull2;ZetaBoxEval;I1Bound;I2Bound;I3Bound;I4Bound;I5Bound	ExplicitFormulaPsiLegacyLinearLogRootPayload.witness	1
B5a	Aristotle.DirichletPhaseAlignment.ExplicitFormulaPsiHyp	strongpnt	StrongPNT/PNT5_Strong.lean	SmoothedChebyshevPull1;SmoothedChebyshevPull2;ZetaBoxEval;I1Bound;I2Bound;I3Bound;I4Bound;I5Bound;I6Bound;I7Bound;I8Bound	ExplicitFormulaPsiLegacyLinearLogRootPayload.witness	1
